iter	Passed	Remaining
0	166	33151
1	196	19419
2	225	14804
3	252	12393
4	281	10978
5	307	9954
6	333	9192
7	358	8604
8	383	8143
9	409	7777
10	434	7471
11	460	7221
12	489	7047
13	517	6880
14	544	6717
15	569	6543
16	593	6386
17	621	6287
18	648	6176
19	675	6082
20	703	5993
21	726	5878
22	750	5777
23	775	5690
24	800	5604
25	826	5531
26	851	5456
27	875	5379
28	901	5317
29	927	5254
30	956	5214
31	982	5158
32	1010	5114
33	1037	5066
34	1067	5032
35	1092	4977
36	1121	4938
37	1146	4888
38	1171	4836
39	1191	4764
40	1211	4697
41	1235	4646
42	1261	4606
43	1287	4564
44	1314	4527
45	1340	4487
46	1361	4433
47	1386	4390
48	1409	4342
49	1433	4299
50	1456	4256
51	1482	4218
52	1511	4191
53	1539	4163
54	1566	4129
55	1593	4098
56	1619	4062
57	1647	4032
58	1676	4006
59	1699	3965
60	1726	3935
61	1756	3909
62	1776	3864
63	1797	3820
64	1824	3790
65	1845	3747
66	1871	3714
67	1896	3680
68	1918	3642
69	1946	3614
70	1972	3583
71	1996	3549
72	2018	3510
73	2043	3479
74	2067	3445
75	2091	3411
76	2117	3381
77	2140	3347
78	2165	3317
79	2189	3284
80	2214	3253
81	2232	3212
82	2255	3179
83	2281	3150
84	2307	3122
85	2332	3092
86	2355	3059
87	2378	3027
88	2402	2996
89	2424	2962
90	2447	2931
91	2467	2896
92	2491	2866
93	2512	2833
94	2537	2804
95	2564	2778
96	2587	2747
97	2614	2720
98	2636	2689
99	2658	2658
100	2681	2628
101	2705	2599
102	2729	2570
103	2750	2538
104	2771	2507
105	2795	2479
106	2821	2452
107	2849	2427
108	2878	2402
109	2901	2373
110	2926	2346
111	2952	2319
112	2978	2293
113	3006	2268
114	3030	2240
115	3058	2214
116	3078	2183
117	3105	2158
118	3126	2127
119	3148	2098
120	3177	2074
121	3200	2045
122	3219	2015
123	3247	1990
124	3271	1962
125	3291	1933
126	3318	1907
127	3343	1880
128	3369	1854
129	3390	1825
130	3412	1797
131	3434	1769
132	3455	1740
133	3480	1714
134	3504	1687
135	3528	1660
136	3556	1635
137	3578	1607
138	3607	1582
139	3629	1555
140	3656	1529
141	3680	1503
142	3707	1478
143	3734	1452
144	3762	1427
145	3790	1402
146	3816	1376
147	3844	1350
148	3870	1324
149	3897	1299
150	3921	1272
151	3945	1245
152	3969	1219
153	3993	1192
154	4016	1165
155	4036	1138
156	4060	1112
157	4085	1086
158	4108	1059
159	4128	1032
160	4150	1005
161	4175	979
162	4197	952
163	4219	926
164	4240	899
165	4259	872
166	4279	845
167	4299	818
168	4321	792
169	4341	766
170	4363	739
171	4387	714
172	4410	688
173	4429	661
174	4449	635
175	4469	609
176	4487	583
177	4508	557
178	4530	531
179	4551	505
180	4571	479
181	4594	454
182	4615	428
183	4636	403
184	4655	377
185	4675	351
186	4696	326
187	4716	301
188	4736	275
189	4756	250
190	4775	225
191	4796	199
192	4815	174
193	4835	149
194	4856	124
195	4877	99
196	4897	74
197	4916	49
198	4945	24
199	4965	0
