iter	Passed	Remaining
0	145	43646
1	147	21938
2	148	14683
3	149	11052
4	150	8872
5	151	7405
6	152	6367
7	153	5586
8	154	4980
9	155	4496
10	156	4105
11	157	3778
12	158	3503
13	160	3274
14	161	3064
15	162	2882
16	163	2716
17	164	2571
18	165	2446
19	166	2330
20	167	2226
21	168	2127
22	169	2041
23	170	1961
24	171	1885
25	172	1818
26	173	1757
27	174	1697
28	175	1643
29	177	1594
30	178	1546
31	179	1499
32	180	1456
33	181	1416
34	182	1378
35	183	1342
36	184	1309
37	185	1277
38	186	1246
39	187	1217
40	188	1193
41	190	1167
42	190	1140
43	192	1117
44	192	1093
45	193	1071
46	194	1048
47	195	1027
48	196	1007
49	197	988
50	198	969
51	199	952
52	200	934
53	201	918
54	202	902
55	203	887
56	204	872
57	205	857
58	206	843
59	207	829
60	208	815
61	209	802
62	209	789
63	211	778
64	212	766
65	212	755
66	213	744
67	214	733
68	216	724
69	217	715
70	218	705
71	219	695
72	220	686
73	221	677
74	222	668
75	223	659
76	224	651
77	225	642
78	226	634
79	227	626
80	228	618
81	230	612
82	231	604
83	232	597
84	233	589
85	234	582
86	235	575
87	236	569
88	237	562
89	238	556
90	239	549
91	240	543
92	241	537
93	242	531
94	243	525
95	244	519
96	245	513
97	246	507
98	247	502
99	248	496
100	249	491
101	250	485
102	251	480
103	251	474
104	252	469
105	253	464
106	254	459
107	255	454
108	256	449
109	257	444
110	258	439
111	259	435
112	260	430
113	260	425
114	261	421
115	262	416
116	263	412
117	264	408
118	265	403
119	266	399
120	267	395
121	268	391
122	269	387
123	269	383
124	270	379
125	271	375
126	272	371
127	273	367
128	274	363
129	275	360
130	276	356
131	277	353
132	278	349
133	279	345
134	280	342
135	280	338
136	281	335
137	282	331
138	283	328
139	284	325
140	285	321
141	286	318
142	287	315
143	288	312
144	289	309
145	290	306
146	291	302
147	292	299
148	292	296
149	293	293
150	294	290
151	295	288
152	296	285
153	297	282
154	298	279
155	299	276
156	300	273
157	301	270
158	302	268
159	303	265
160	304	262
161	305	259
162	306	257
163	307	254
164	308	252
165	308	249
166	309	246
167	310	244
168	311	241
169	312	239
170	313	236
171	314	234
172	315	231
173	316	229
174	317	226
175	318	224
176	319	221
177	320	219
178	321	217
179	322	214
180	323	212
181	323	210
182	324	207
183	325	205
184	326	203
185	327	200
186	328	198
187	329	196
188	330	194
189	331	191
190	332	189
191	333	187
192	334	185
193	335	183
194	336	180
195	336	178
196	337	176
197	338	174
198	339	172
199	340	170
200	341	168
201	342	166
202	343	164
203	344	162
204	345	160
205	346	158
206	347	156
207	348	154
208	349	152
209	350	150
210	351	148
211	352	146
212	353	144
213	353	142
214	354	140
215	355	138
216	356	136
217	357	134
218	358	132
219	359	130
220	360	128
221	361	126
222	362	125
223	363	123
224	364	121
225	364	119
226	365	117
227	366	115
228	367	113
229	368	112
230	369	110
231	370	108
232	371	106
233	372	104
234	373	103
235	374	101
236	375	99
237	375	97
238	376	96
239	377	94
240	378	92
241	379	91
242	380	89
243	381	87
244	382	85
245	383	84
246	384	82
247	385	80
248	386	79
249	387	77
250	387	75
251	388	74
252	389	72
253	390	70
254	391	69
255	392	67
256	393	65
257	394	64
258	395	62
259	396	60
260	396	59
261	397	57
262	398	56
263	399	54
264	400	52
265	401	51
266	402	49
267	403	48
268	404	46
269	405	45
270	406	43
271	407	41
272	408	40
273	409	38
274	410	37
275	411	35
276	412	34
277	412	32
278	413	31
279	414	29
280	415	28
281	416	26
282	417	25
283	418	23
284	419	22
285	420	20
286	421	19
287	422	17
288	423	16
289	424	14
290	425	13
291	425	11
292	426	10
293	427	8
294	428	7
295	429	5
296	430	4
297	431	2
298	432	1
299	433	0
