iter	Passed	Remaining
0	501	149835
1	931	138761
2	1335	132234
3	1743	129012
4	2134	125944
5	2521	123560
6	2899	121374
7	3288	120026
8	3668	118617
9	4058	117691
10	4442	116708
11	4809	115432
12	5173	114205
13	5548	113344
14	5832	110812
15	6199	110041
16	6562	109247
17	6913	108303
18	7274	107580
19	7644	107021
20	8039	106810
21	8396	106106
22	8723	105059
23	9130	105001
24	9450	103954
25	9813	103420
26	10211	103245
27	10537	102366
28	10879	101663
29	11194	100747
30	11583	100512
31	11885	99545
32	12280	99359
33	12622	98755
34	12967	98181
35	13337	97806
36	13644	96985
37	13953	96206
38	14300	95700
39	14652	95243
40	14960	94506
41	15280	93863
42	15636	93453
43	15996	93069
44	16360	92708
45	16683	92122
46	17060	91838
47	17423	91471
48	17738	90862
49	18118	90591
50	18419	89931
51	18764	89492
52	19068	88865
53	19336	88089
54	19726	87874
55	20110	87626
56	20458	87217
57	20760	86622
58	21126	86296
59	21458	85835
60	21829	85529
61	22188	85174
62	22587	84973
63	22942	84598
64	23254	84072
65	23553	83508
66	23845	82923
67	24199	82563
68	24545	82175
69	24880	81749
70	25205	81297
71	25606	81087
72	25939	80661
73	26236	80127
74	26575	79725
75	26869	79195
76	27176	78705
77	27590	78526
78	27910	78077
79	28196	77540
80	28488	77024
81	28821	76622
82	29254	76484
83	29535	75948
84	29847	75496
85	30133	74983
86	30401	74430
87	30739	74055
88	31076	73676
89	31464	73417
90	31761	72947
91	32128	72638
92	32479	72294
93	32894	72087
94	33212	71669
95	33522	71234
96	33869	70881
97	34178	70449
98	34528	70102
99	34820	69641
100	35137	69230
101	35446	68807
102	35757	68390
103	36048	67937
104	36367	67538
105	36704	67176
106	37013	66762
107	37408	66503
108	37754	66157
109	38070	65757
110	38375	65342
111	38676	64920
112	38990	64523
113	39286	64098
114	39599	63703
115	39886	63268
116	40199	62876
117	40556	62553
118	40898	62206
119	41275	61912
120	41616	61565
121	41906	61142
122	42211	60743
123	42498	60320
124	42828	59959
125	43116	59542
126	43456	59197
127	43775	58823
128	44069	58417
129	44384	58040
130	44671	57629
131	44964	57227
132	45286	56863
133	45572	56455
134	45868	56061
135	46153	55655
136	46477	55297
137	46783	54919
138	47099	54554
139	47379	54147
140	47675	53761
141	47998	53407
142	48267	52993
143	48553	52600
144	48844	52213
145	49115	51807
146	49428	51445
147	49708	51052
148	49998	50669
149	50294	50294
150	50572	49902
151	50857	49519
152	51141	49135
153	51450	48777
154	51749	48410
155	52054	48050
156	52374	47703
157	52660	47327
158	52950	46955
159	53259	46602
160	53544	46228
161	53822	45848
162	54121	45488
163	54426	45134
164	54736	44784
165	55057	44444
166	55346	44078
167	55658	43731
168	55967	43383
169	56260	43022
170	56570	42676
171	56872	42323
172	57166	41966
173	57493	41633
174	57779	41271
175	58061	40906
176	58385	40572
177	58668	40211
178	58962	39857
179	59248	39499
180	59545	39148
181	59865	38813
182	60172	38470
183	60483	38130
184	60797	37792
185	61078	37435
186	61403	37104
187	61699	36757
188	61985	36404
189	62278	36056
190	62588	35718
191	62879	35369
192	63165	35019
193	63455	34671
194	63786	34346
195	64095	34009
196	64383	33662
197	64673	33316
198	64973	32976
199	65286	32643
200	65573	32297
201	65864	31954
202	66172	31619
203	66457	31274
204	66751	30933
205	67042	30591
206	67331	30250
207	67618	29908
208	67910	29568
209	68203	29230
210	68513	28898
211	68825	28569
212	69152	28245
213	69443	27907
214	69727	27566
215	70043	27238
216	70349	26908
217	70659	26578
218	70945	26240
219	71269	25916
220	71588	25590
221	71883	25256
222	72179	24923
223	72536	24610
224	72850	24283
225	73179	23961
226	73485	23631
227	73777	23298
228	74071	22965
229	74355	22629
230	74679	22306
231	74969	21973
232	75251	21638
233	75571	21314
234	75868	20984
235	76182	20659
236	76469	20327
237	76759	19996
238	77054	19666
239	77338	19334
240	77626	19003
241	77915	18673
242	78221	18348
243	78529	18023
244	78890	17710
245	79204	17386
246	79529	17064
247	79839	16740
248	80159	16418
249	80486	16097
250	80781	15770
251	81085	15444
252	81361	15114
253	81638	14784
254	81936	14459
255	82230	14133
256	82495	13802
257	82769	13474
258	83066	13149
259	83338	12821
260	83618	12494
261	83921	12171
262	84216	11847
263	84510	11524
264	84778	11197
265	85069	10873
266	85366	10550
267	85632	10224
268	85909	9900
269	86205	9578
270	86508	9257
271	86781	8933
272	87062	8610
273	87370	8290
274	87743	7976
275	88047	7656
276	88353	7336
277	88631	7014
278	88930	6693
279	89198	6371
280	89492	6051
281	89784	5730
282	90077	5411
283	90352	5090
284	90631	4770
285	90901	4449
286	91168	4129
287	91436	3809
288	91732	3491
289	91999	3172
290	92262	2853
291	92564	2536
292	92860	2218
293	93136	1900
294	93404	1583
295	93666	1265
296	93960	949
297	94247	632
298	94535	316
299	94837	0
